impactType,impactTitle,impactNumber,impactPercentage
REGION,GLOBAL,95592379,49.4
REGION,AFRICA,27286040,12.2
REGION,ASIA,45568370,23.5
REGION,EUROPE,13594119,7
REGION,AMERICAS,7721393,4
REGION,MIDDLE EAST,3890967,2
DISSEMINATION,WEBSITE,1362924,7
DISSEMINATION,EMAIL,54070,0
DISSEMINATION,SOCIAL MEDIA,128339027,66.3
DISSEMINATION,TEXTS,13561620,7
DISSEMINATION,PRINT MEDIA,435035,0.2
DISSEMINATION,RADIO,30548829,15.8
DISSEMINATION,VIDEO,2384500,1.2
DISSEMINATION,WEBINAR,42388,0
DISSEMINATION,OTHERS,546203,0.3
DISSEMINATION,PSA,5028708,2.6
DISSEMINATION,SCHOOL-BASED,91900,0
DISSEMINATION,PHONE-BASED,29205,0
DISSEMINATION,CASE-WORKERS,8064531,4.2
DISSEMINATION,FAITH-BASED,3164328,1.6
