languageType,languageCode,languageName,tipSheetNumber,title
1,en,English,1,One on One Time
1,en,English,2,Keeping it Positive
1,en,English,3,Structure Up
1,en,English,4,When Children Misbehave...
1,en,English,5,Keep Calm and Managing Stress
1,en,English,6,Talking about Covid-19
1,en,English,7,Keeping Children Safe Online
1,en,English,8,Family Budgeting In Times Of Financial Stress
1,en,English,9,Family Harmony At Home
1,en,English,10,Learning Through Play
1,en,English,11,When We Get Angry
1,en,English,12,Parenting In Crowded Homes And Communities
1,en,English,13,Tips For Children With Disabilities
1,en,English,14,Tips For Parenting Teens
1,en,English,15,Parenting A New Baby
1,en,English,16,Education and Remote Learning
1,af,Afrikaans,1,Een - tot - Eentyd
1,af,Afrikaans,2,Hou Dit Positief
1,af,Afrikaans,3,Skep struktuur!
1,af,Afrikaans,4,Slegte Gedrag
1,af,Afrikaans,5,Bly Kalm en Beheer Stres
1,af,Afrikaans,6,Praat oor COVID-19
1,al,Shqip,1,Koha individuale me secilin femije
1,al,Shqip,2,Te qenit pozitiv (optimist)
1,al,Shqip,3,Organizohuni!
1,al,Shqip,4,Sjelljet e keqija
1,al,Shqip,5,Ruani qetesine dhe menaxhoni stresin
1,al,Shqip,6,Te flasim rreth COVID-19
1,al,Shqip,7,Si t’ i mbani fëmijët të sigurt online
1,al,Shqip,8,Buxhetimi familijar gjatë periudhës së stresit financiar
1,al,Shqip,9,Harmonia familijare në shtëpi
1,al,Shqip,10,Të nx ënit përmes lojërave
1,al,Shqip,11,Kur ndihemi të inatosur
1,al,Shqip,12,Prindërimi në dhe në komunitete me shumë anëtarë
1,al,Shqip,13,Këshilla për fëmijët me aftësi të kufizuara Të
1,al,Shqip,14,Këshilla për prindërimin e adoleshentëve
1,al,Shqip,15,Prindërimi i një foshnje të re?
1,et,Eesti,1,Üks ühele aeg
1,et,Eesti,2,Hoia tuju üleval
1,et,Eesti,3,Loo struktuur!
1,et,Eesti,4,Halb käitumine
1,et,Eesti,5,Ole rahulik ja tegele stressi maandamisega
1,et,Eesti,6,COVID-19st rääkimine
1,et,Eesti,7,Laste turvalisuse tagamine internetis
1,et,Eesti,8,Pere eelarve majanduslikult kitsal ajal
1,et,Eesti,9,Kodurahu
1,et,Eesti,10,Mängu kaudu õppimine
1,et,Eesti,11,Kui vihastume
1,et,Eesti,12,Vanemlus kitsastes tingimustes
1,et,Eesti,13,Nõuanded puuetega laste vanematele
1,et,Eesti,14,Mõned vihjed teismeliste vanematele
1,et,Eesti,15,Sul on taas beebi?
1,fr,Français,1,Du Temps en Tête-à-tête
1,fr,Français,2,Restez Positif
1,fr,Français,3,Instaurez un Cadre
1,fr,Français,4,Les Mauvais Comportements
1,fr,Français,5,Gardez le Calme et Gérez le Stress
1,fr,Français,6,Parler du COVID-19
1,fr,Français,7,Assurer la sécurité des enfants sur le ne
1,fr,Français,8,Le budget familial en période de difficulté financière
1,fr,Français,9,L'harmonie familiale à la maison
1,fr,Français,10,Apprendre en s'amusant
1,fr,Français,11,Quand Nous Sommes en Colère
1,fr,Français,12,Être parent dans les foyers et les communautés surpeuplées
1,fr,Français,13,Conseils pour les enfants en situation de handicap
1,fr,Français,14,Conseils pour les parents d'adolescents
1,fr,Français,15,Vous êtes parent d'un nouveau-né ?
2,gu,ગુજરાતી,1,ગણવત્તાસભર સમય
2,gu,ગુજરાતી,2,સકારાત્મક રહવે ં ુ
2,gu,ગુજરાતી,3,રોજિંદા કાર્યોની નવેસરથી યાદી બનાવો!
2,gu,ગુજરાતી,4,ખરાબ વર્તન
2,gu,ગુજરાતી,5,શાંત રહો અને તણાવનં સં ુ ચાલન કરો
2,gu,ગુજરાતી,6,COVID-19 વિશે વાત કરવી
1,hu,Magyar,1,Időtöltés együtt
1,hu,Magyar,2,Maradjon pozitív
1,hu,Magyar,3,Tervezze meg a napját!
1,hu,Magyar,4,Rossz Viselkedés
1,hu,Magyar,5,Maradjon Nyugodt és Uralja a Stresszt
1,hu,Magyar,6,Beszélgetés a COVID-19-ról
1,id,Bahasa Indonesia,1,Waktunya Berbicara Berdua
1,id,Bahasa Indonesia,2,Tetap Positif
1,id,Bahasa Indonesia,3,Membuat Struktur
1,id,Bahasa Indonesia,4,Perilaku yang Buruk
1,id,Bahasa Indonesia,5,Tetap Tenang dan Kelola Stres
1,id,Bahasa Indonesia,6,Berbicara tentang
2,jp,日本語,1,子どもと一対一の時間
2,jp,日本語,2,いつも前向きに
2,jp,日本語,3,ルーティンを作る
2,jp,日本語,4,もし「悪い子になったら」
2,jp,日本語,5,落ち着いて、ストレスと向き合おう
2,jp,日本語,6,新型コロナウィルス感染症について話そう
2,ka,ქართული,1,ერთად ყოფნის დრო
2,ka,ქართული,2,შეინარჩუნეთ პოზიტიურობა!
2,ka,ქართული,3,დაგეგმეთ!
2,ka,ქართული,4,ცუდი ქცევა
2,ka,ქართული,5,იყავით მშვიდად და მართეთ სტრესი
2,ka,ქართული,6,საუბრები COVID 19-ის შესახებ
2,ka,ქართული,7,დავიცვათ ბავშვების უსაფრთხოება ონლაინ სივრცეში
2,ka,ქართული,8,ოჯახის ბიუჯეტის შედგენა ფინანსური კრიზისის დროს
2,ka,ქართული,9,ოჯახური ჰარმონია სახლში
2,ka,ქართული,10,თამაშით სწავლა
2,ka,ქართული,11,როდესაც ვბრაზობთ
2,ka,ქართული,12,მშობლობა ხალხმრავალ სახლებში და თემებში
1,kk,Қазақ Tілі,1,Баламен жеке уақыт өткізу
1,kk,Қазақ Tілі,2,Позитивті көңіл-күйді ұстаныңыз
1,kk,Қазақ Tілі,3,Структура жасаңыз
1,kk,Қазақ Tілі,4,COVID-19 жайлы әңгіме
1,kk,Қазақ Tілі,5,Сабырлы болыңыз және Стрессті қолда ұстаңыз
1,kk,Қазақ Tілі,6,Жаман мінез-құлық
1,ku,Kurmancî,1,Demên taybet yên xwe û zarokê xwe
1,ku,Kurmancî,2,Bi pozatîvî bimîne
1,ku,Kurmancî,3,Karan li hev bîne!
1,ku,Kurmancî,4,Tevgerên nebaş
1,ku,Kurmancî,5,Aram be û bi ser stres û astengiyan de zal be
1,ku,Kurmancî,6,Axaftin li ser Coronayê
1,lg,Luganda,1,Obudde bw'okubeera n'omwana nga oli naye mwekanamweka
1,lg,Luganda,2,Okusigala nga olina esubi
1,lg,Luganda,3,Kikole wagulu
1,lg,Luganda,4,Eneyisa embi
1,lg,Luganda,5,Sigala ngoli mukakamu era osobole okufuga ebirowoozo ebingi
1,lg,Luganda,6,Okwogera ku COVID-19
2,lo,ພາສາລາວ,1,ເວ ລາ ຢ່ ູ ນ ໍ າກ ັ ນແບບ ຕ ົ ວ ຕ ໍ ່ 1 ຕ ົ ວ
2,lo,ພາສາລາວ,2,ຄ ິດໃນ ທາງບວກ
2,lo,ພາສາລາວ,3,ສາງ ໂຄງ ສ ້ າງ ຂ ້ ຶ ້ 3 ນ ມາ
2,lo,ພາສາລາວ,4,ພ ຶ ດ ຕ ິ ກ ໍ າທ ີ ່ ບ ໍ 4 ່ ດ
2,lo,ພາສາລາວ,5,ໃຫໃຈເຢ ້ ັ ນໆ ແລະ ຄວາມຄຸມຄວາມຕ ຶ ງຄຽດ
2,lo,ພາສາລາວ,6,ໂອລ ້ ົ ມ ກ ັ ນກ ່ ຽວ ກ ັບ ໂຄວິ ດ - 19
1,mk,Mакедонски,1,Време поминато еден-на-еден
1,mk,Mакедонски,2,Oстанете позитивни
1,mk,Mакедонски,3,Структурирајте се
1,mk,Mакедонски,4,Лошо однесување
1,mk,Mакедонски,5,Останете смирени и совладајте го стресот
1,mk,Mакедонски,6,Разговор за КОВИД-19
2,ml,മലയാളം,1,സമയം ഫലപ്രദമായി വിനിയോഗിക്കുക
2,ml,മലയാളം,2,പോസിറ്റീവായി ഇരിക്കൂ
2,ml,മലയാളം,3,ഒരു ദിനചര്യ രൂപപ്പെടുത്താം!
2,ml,മലയാളം,4,മോശം പെരുമാറ്റം
2,ml,മലയാളം,5,ശാന്തത പാലിക്കൂ  മാനസിക സമ്മർദ്ദം നിയന്ത്രിക്കൂ
2,ml,മലയാളം,6,കോവിഡ്-19 നെ കുറിച്ചുള്ള ആശയവിനിമയം
1,ms,Bahasa Melayu,1,Masa bersama anak-anak
1,ms,Bahasa Melayu,2,Kekal positif
1,ms,Bahasa Melayu,3,Tetapkan rutin
1,ms,Bahasa Melayu,4,Sentiasa tenang dan tangani stres
1,ms,Bahasa Melayu,5,Tingkah laku nakal
1,ms,Bahasa Melayu,6,Bercakap tentang COVID-19
1,ms,Bahasa Melayu,7,Tip Sheet Number 7
1,ms,Bahasa Melayu,8,Tip Sheet Number 8
1,ms,Bahasa Melayu,9,Tip Sheet Number 9
1,ms,Bahasa Melayu,10,Tip Sheet Number 10
1,ms,Bahasa Melayu,11,Tip Sheet Number 11
1,ms,Bahasa Melayu,12,Tip Sheet Number 12
1,ms,Bahasa Melayu,13,Tip Sheet Number 13
